0.00.035.933 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.036.498 W srv  llama_server: -----------------
0.00.036.501 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.036.501 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.036.502 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.036.502 W srv  llama_server: -----------------
0.00.037.810 I srv    load_model: loading model '/srv/models/qwen38-ud-iq1-s/Qwen3.8-Flash-Next-UD-IQ1_S-00001-of-00003.gguf'
0.04.131.070 I cmn          init: llama threadpool init, n_threads = 14
0.06.493.715 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'true'
0.06.502.036 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.06.502.098 I srv  llama_server: model loaded
0.06.502.104 I srv  llama_server: listening on http://127.0.0.1:18600
0.20.018.887 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.20.018.961 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.31.594.380 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =    252, progress = 0.98, t =  11.58 s / 21.77 tokens per second
0.37.365.426 I slot print_timing: id  3 | task 0 | prompt eval time =   13827.33 ms /   256 tokens (   54.01 ms per token,    18.51 tokens per second)
0.37.365.431 I slot print_timing: id  3 | task 0 |        eval time =    3518.99 ms /     8 tokens (  502.71 ms per token,     1.99 tokens per second)
0.37.365.433 I slot print_timing: id  3 | task 0 |       total time =   17346.33 ms /   264 tokens
0.37.365.438 I slot print_timing: id  3 | task 0 |    graphs reused =          7
0.37.365.477 I slot      release: id  3 | task 0 | stop processing: n_tokens = 263, truncated = 0
0.42.414.034 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.973
0.42.414.091 I slot launch_slot_: id  3 | task 10 | processing task, is_child = 0
0.51.014.953 I slot print_timing: id  3 | task 10 | prompt processing, n_tokens =    252, progress = 0.98, t =   8.60 s / 29.30 tokens per second
0.55.967.825 I slot print_timing: id  3 | task 10 | prompt eval time =   10232.49 ms /   256 tokens (   39.97 ms per token,    25.02 tokens per second)
0.55.967.831 I slot print_timing: id  3 | task 10 |        eval time =    3321.10 ms /     8 tokens (  474.44 ms per token,     2.11 tokens per second)
0.55.967.832 I slot print_timing: id  3 | task 10 |       total time =   13553.59 ms /   264 tokens
0.55.967.833 I slot print_timing: id  3 | task 10 |    graphs reused =         13
0.55.967.858 I slot      release: id  3 | task 10 | stop processing: n_tokens = 263, truncated = 0
1.00.972.965 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.973
1.00.973.013 I slot launch_slot_: id  3 | task 20 | processing task, is_child = 0
1.09.570.431 I slot print_timing: id  3 | task 20 | prompt processing, n_tokens =    252, progress = 0.98, t =   8.60 s / 29.31 tokens per second
1.14.502.894 I slot print_timing: id  3 | task 20 | prompt eval time =   10222.19 ms /   256 tokens (   39.93 ms per token,    25.04 tokens per second)
1.14.502.899 I slot print_timing: id  3 | task 20 |        eval time =    3307.55 ms /     8 tokens (  472.51 ms per token,     2.12 tokens per second)
1.14.502.900 I slot print_timing: id  3 | task 20 |       total time =   13529.74 ms /   264 tokens
1.14.502.902 I slot print_timing: id  3 | task 20 |    graphs reused =         19
1.14.502.926 I slot      release: id  3 | task 20 | stop processing: n_tokens = 263, truncated = 0
1.19.507.646 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.973
1.19.507.703 I slot launch_slot_: id  3 | task 30 | processing task, is_child = 0
1.28.668.355 I slot print_timing: id  3 | task 30 | prompt processing, n_tokens =    252, progress = 0.98, t =   9.16 s / 27.51 tokens per second
1.33.618.918 I slot print_timing: id  3 | task 30 | prompt eval time =   10792.49 ms /   256 tokens (   42.16 ms per token,    23.72 tokens per second)
1.33.618.923 I slot print_timing: id  3 | task 30 |        eval time =    3318.59 ms /     8 tokens (  474.08 ms per token,     2.11 tokens per second)
1.33.618.925 I slot print_timing: id  3 | task 30 |       total time =   14111.07 ms /   264 tokens
1.33.618.926 I slot print_timing: id  3 | task 30 |    graphs reused =         25
1.33.618.950 I slot      release: id  3 | task 30 | stop processing: n_tokens = 263, truncated = 0
1.38.626.534 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.973
1.38.626.582 I slot launch_slot_: id  3 | task 40 | processing task, is_child = 0
1.47.733.742 I slot print_timing: id  3 | task 40 | prompt processing, n_tokens =    252, progress = 0.98, t =   9.11 s / 27.67 tokens per second
1.52.681.259 I slot print_timing: id  3 | task 40 | prompt eval time =   10742.80 ms /   256 tokens (   41.96 ms per token,    23.83 tokens per second)
1.52.681.265 I slot print_timing: id  3 | task 40 |        eval time =    3311.74 ms /     8 tokens (  473.11 ms per token,     2.11 tokens per second)
1.52.681.266 I slot print_timing: id  3 | task 40 |       total time =   14054.54 ms /   264 tokens
1.52.681.267 I slot print_timing: id  3 | task 40 |    graphs reused =         31
1.52.681.291 I slot      release: id  3 | task 40 | stop processing: n_tokens = 263, truncated = 0
1.57.686.256 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.973
1.57.686.309 I slot launch_slot_: id  3 | task 50 | processing task, is_child = 0
2.06.287.364 I slot print_timing: id  3 | task 50 | prompt processing, n_tokens =    252, progress = 0.98, t =   8.60 s / 29.30 tokens per second
2.11.228.598 I slot print_timing: id  3 | task 50 | prompt eval time =   10231.61 ms /   256 tokens (   39.97 ms per token,    25.02 tokens per second)
2.11.228.603 I slot print_timing: id  3 | task 50 |        eval time =    3310.55 ms /     8 tokens (  472.94 ms per token,     2.11 tokens per second)
2.11.228.604 I slot print_timing: id  3 | task 50 |       total time =   13542.16 ms /   264 tokens
2.11.228.606 I slot print_timing: id  3 | task 50 |    graphs reused =         37
2.11.228.631 I slot      release: id  3 | task 50 | stop processing: n_tokens = 263, truncated = 0
2.16.233.456 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.973
2.16.233.503 I slot launch_slot_: id  3 | task 60 | processing task, is_child = 0
2.24.853.011 I slot print_timing: id  3 | task 60 | prompt processing, n_tokens =    252, progress = 0.98, t =   8.62 s / 29.24 tokens per second
2.29.827.144 I slot print_timing: id  3 | task 60 | prompt eval time =   10283.47 ms /   256 tokens (   40.17 ms per token,    24.89 tokens per second)
2.29.827.149 I slot print_timing: id  3 | task 60 |        eval time =    3310.03 ms /     8 tokens (  472.86 ms per token,     2.11 tokens per second)
