    PID STAT     ELAPSED WCHAN                            COMMAND
      1 Ss      23:10:14 do_epoll_wait                    /sbin/init
      2 S       23:10:14 kthreadd                         [kthreadd]
      3 S       23:10:14 kthread_worker_fn                [pool_workqueue_release]
      4 I<      23:10:14 rescuer_thread                   [kworker/R-rcu_gp]
      5 I<      23:10:14 rescuer_thread                   [kworker/R-sync_wq]
      6 I<      23:10:14 rescuer_thread                   [kworker/R-kvfree_rcu_reclaim]
      7 I<      23:10:14 rescuer_thread                   [kworker/R-slub_flushwq]
      8 I<      23:10:14 rescuer_thread                   [kworker/R-netns]
     10 I<      23:10:14 worker_thread                    [kworker/0:0H-kblockd]
     13 I<      23:10:14 rescuer_thread                   [kworker/R-mm_percpu_wq]
     14 S       23:10:14 smpboot_thread_fn                [ksoftirqd/0]
     15 I       23:10:14 rcu_gp_fqs_loop                  [rcu_preempt]
     16 S       23:10:14 kthread_worker_fn                [rcu_exp_par_gp_kthread_worker/0]
     17 S       23:10:14 kthread_worker_fn                [rcu_exp_gp_kthread_worker]
     18 S       23:10:14 smpboot_thread_fn                [migration/0]
     19 S       23:10:14 kprobe_optimizer_thread          [kprobe-optimizer]
     20 S       23:10:14 smpboot_thread_fn                [idle_inject/0]
     21 S       23:10:14 smpboot_thread_fn                [cpuhp/0]
     22 S       23:10:14 smpboot_thread_fn                [cpuhp/1]
     23 S       23:10:14 smpboot_thread_fn                [idle_inject/1]
     24 S       23:10:14 smpboot_thread_fn                [migration/1]
     25 S       23:10:14 smpboot_thread_fn                [ksoftirqd/1]
     27 I<      23:10:14 worker_thread                    [kworker/1:0H-kblockd]
     30 S       23:10:14 devtmpfs_work_loop               [kdevtmpfs]
     31 I<      23:10:14 rescuer_thread                   [kworker/R-inet_frag_wq]
     32 I       23:10:14 rcu_tasks_one_gp                 [rcu_tasks_kthread]
     33 I       23:10:14 rcu_tasks_one_gp                 [rcu_tasks_rude_kthread]
     34 S       23:10:14 kauditd_thread                   [kauditd]
     35 S       23:10:14 watchdog                         [khungtaskd]
     36 S       23:10:14 oom_reaper                       [oom_reaper]
     37 I<      23:10:14 rescuer_thread                   [kworker/R-writeback]
     38 S       23:10:14 kcompactd                        [kcompactd0]
     39 SN      23:10:14 ksm_scan_thread                  [ksmd]
     40 SN      23:10:14 khugepaged                       [khugepaged]
     41 I<      23:10:14 rescuer_thread                   [kworker/R-kblockd]
     42 I<      23:10:14 rescuer_thread                   [kworker/R-blkcg_punt_bio]
     43 I<      23:10:14 rescuer_thread                   [kworker/R-kintegrityd]
     46 S       23:10:14 irq_thread                       [irq/9-acpi]
     47 I<      23:10:13 rescuer_thread                   [kworker/R-tpm_dev_wq]
     48 I<      23:10:13 rescuer_thread                   [kworker/R-edac-poller]
     49 I<      23:10:13 rescuer_thread                   [kworker/R-devfreq_wq]
     50 I<      23:10:13 rescuer_thread                   [kworker/R-quota_events_unbound]
     51 S       23:10:13 irq_thread                       [irq/120-dmar0-prq]
     52 S       23:10:13 kswapd                           [kswapd0]
     53 I       23:10:13 kdamond_fn                       [kdamond.0]
     55 I<      23:10:13 rescuer_thread                   [kworker/R-kthrotld]
     56 S       23:10:13 irq_thread                       [irq/123-aerdrv]
     57 S       23:10:13 irq_thread                       [irq/124-aerdrv]
     58 I<      23:10:13 rescuer_thread                   [kworker/R-acpi_thermal_pm]
     59 I<      23:10:13 rescuer_thread                   [kworker/R-mld]
     60 I<      23:10:13 rescuer_thread                   [kworker/R-ipv6_addrconf]
     61 I<      23:10:13 rescuer_thread                   [kworker/R-kstrp]
    146 S       23:10:13 kthread_worker_fn                [watchdogd]
    157 I<      23:10:12 rescuer_thread                   [kworker/R-uas]
    158 S       23:10:12 scsi_error_handler               [scsi_eh_0]
    159 I<      23:10:12 rescuer_thread                   [kworker/R-scsi_tmf_0]
    160 I<      23:10:12 worker_thread                    [kworker/1:1H-kblockd]
    161 S       23:10:12 scsi_error_handler               [scsi_eh_1]
    162 I<      23:10:12 rescuer_thread                   [kworker/R-scsi_tmf_1]
    191 I<      23:10:12 worker_thread                    [kworker/0:1H-kblockd]
    197 S       23:10:11 kjournald2                       [jbd2/sda3-8]
    198 I<      23:10:11 rescuer_thread                   [kworker/R-ext4-rsv-conversion]
    240 Ss      23:10:10 do_epoll_wait                    /usr/lib/systemd/systemd-journald
    270 Ss      23:10:10 do_epoll_wait                    /usr/lib/systemd/systemd-udevd
