    TID STAT WCHAN
 148848 Ssl  dma_fence_default_wait
 148850 Ssl  futex_wait_queue
 148851 Ssl  futex_wait_queue
 148852 SNsl futex_wait_queue
 148853 SNsl futex_wait_queue
 148854 Ssl  inet_csk_accept
 148855 Ssl  futex_wait_queue
 148856 Ssl  futex_wait_queue
 148857 Ssl  futex_wait_queue
 148858 Ssl  futex_wait_queue
 148859 Ssl  futex_wait_queue
 148860 Ssl  futex_wait_queue
 148861 Ssl  futex_wait_queue
 148862 Ssl  futex_wait_queue
 148863 Ssl  futex_wait_queue
 148864 Ssl  futex_wait_queue
 148865 Ssl  futex_wait_queue
 148866 Ssl  futex_wait_queue
 148867 Ssl  futex_wait_queue
 148868 Ssl  futex_wait_queue
 148869 Ssl  futex_wait_queue
 148870 Ssl  futex_wait_queue
 148871 Ssl  futex_wait_queue
 148872 Ssl  futex_wait_queue
 148873 Ssl  futex_wait_queue
 148874 Ssl  futex_wait_queue
 148875 Ssl  futex_wait_queue
 148876 Ssl  futex_wait_queue
 148877 Ssl  futex_wait_queue
 148878 Ssl  futex_wait_queue
 148879 Ssl  futex_wait_queue
 148880 Ssl  futex_wait_queue
 148881 Ssl  futex_wait_queue
 148885 Ssl  futex_wait_queue
 148886 Ssl  futex_wait_queue
 148887 Ssl  futex_wait_queue
 148888 Ssl  futex_wait_queue
 148889 Ssl  futex_wait_queue
 148890 Ssl  futex_wait_queue
 148891 Ssl  futex_wait_queue
 148892 Ssl  futex_wait_queue
 148893 Ssl  futex_wait_queue
 148894 Ssl  futex_wait_queue
 148895 Ssl  futex_wait_queue
 148896 Ssl  futex_wait_queue
 148897 Ssl  futex_wait_queue
 148898 Ssl  futex_wait_queue
 148931 SNsl futex_wait_queue
 148932 SNsl futex_wait_queue
