    TID STAT WCHAN
   2469 Rsl  -
   2471 Ssl  futex_wait_queue
   2472 Ssl  futex_wait_queue
   2473 SNsl futex_wait_queue
   2474 SNsl futex_wait_queue
   2475 Ssl  inet_csk_accept
   2476 Ssl  futex_wait_queue
   2477 Ssl  futex_wait_queue
   2478 Ssl  futex_wait_queue
   2479 Ssl  futex_wait_queue
   2480 Ssl  futex_wait_queue
   2481 Ssl  futex_wait_queue
   2482 Ssl  futex_wait_queue
   2483 Ssl  futex_wait_queue
   2484 Ssl  futex_wait_queue
   2485 Ssl  futex_wait_queue
   2486 Ssl  futex_wait_queue
   2487 Ssl  futex_wait_queue
   2488 Ssl  futex_wait_queue
   2489 Ssl  futex_wait_queue
   2490 Ssl  futex_wait_queue
   2491 Ssl  futex_wait_queue
   2492 Ssl  futex_wait_queue
   2493 Ssl  futex_wait_queue
   2494 Ssl  futex_wait_queue
   2495 Ssl  futex_wait_queue
   2496 Ssl  futex_wait_queue
   2497 Ssl  futex_wait_queue
   2498 Ssl  futex_wait_queue
   2499 Ssl  futex_wait_queue
   2500 Ssl  futex_wait_queue
   2501 Ssl  futex_wait_queue
   2502 Ssl  futex_wait_queue
   2507 Ssl  futex_wait_queue
   2508 Ssl  futex_wait_queue
   2509 Ssl  futex_wait_queue
   2510 Ssl  futex_wait_queue
   2511 Ssl  futex_wait_queue
   2512 Ssl  futex_wait_queue
   2513 Ssl  futex_wait_queue
   2514 Ssl  futex_wait_queue
   2515 Ssl  futex_wait_queue
   2516 Ssl  futex_wait_queue
   2517 Ssl  futex_wait_queue
   2518 Ssl  futex_wait_queue
   2519 Ssl  futex_wait_queue
   2520 Ssl  futex_wait_queue
