06:53:46 temp=47.0C power=27.12W fan=899.0rpm vram=7200.734375MiB
06:53:48 temp=44.0C power=7.083W fan=900.0rpm vram=7.203125MiB
06:53:50 temp=43.0C power=7.083W fan=871.0rpm vram=7.203125MiB
06:53:52 temp=43.0C power=7.083W fan=858.0rpm vram=7.203125MiB
06:53:54 temp=43.0C power=7.083W fan=834.0rpm vram=7.203125MiB
06:53:56 temp=42.0C power=7.083W fan=815.0rpm vram=7.203125MiB
06:53:58 temp=42.0C power=7.083W fan=807.0rpm vram=7.203125MiB
06:54:00 temp=42.0C power=7.083W fan=807.0rpm vram=7.203125MiB
06:54:02 temp=42.0C power=7.083W fan=807.0rpm vram=7.203125MiB
06:54:04 temp=42.0C power=7.083W fan=807.0rpm vram=7.203125MiB
06:54:06 temp=42.0C power=7.083W fan=807.0rpm vram=7.203125MiB
06:54:08 temp=42.0C power=7.083W fan=807.0rpm vram=7.203125MiB
06:54:10 temp=42.0C power=7.083W fan=807.0rpm vram=7.203125MiB
06:54:12 temp=42.0C power=7.083W fan=807.0rpm vram=7.203125MiB
06:54:14 temp=42.0C power=7.083W fan=807.0rpm vram=7.203125MiB
06:54:16 temp=42.0C power=7.083W fan=807.0rpm vram=7.203125MiB
06:54:18 temp=42.0C power=7.083W fan=807.0rpm vram=7.203125MiB
06:54:20 temp=42.0C power=7.083W fan=807.0rpm vram=7.203125MiB
06:54:22 temp=42.0C power=7.083W fan=807.0rpm vram=7.203125MiB
06:54:24 temp=42.0C power=7.083W fan=807.0rpm vram=7.203125MiB
06:54:26 temp=42.0C power=7.083W fan=807.0rpm vram=7.203125MiB
06:54:28 temp=43.0C power=7.083W fan=807.0rpm vram=7.203125MiB
06:54:30 temp=42.0C power=7.083W fan=807.0rpm vram=7.203125MiB
06:54:32 temp=42.0C power=7.083W fan=807.0rpm vram=7.203125MiB
06:54:34 temp=42.0C power=7.083W fan=807.0rpm vram=7.203125MiB
06:54:36 temp=42.0C power=7.083W fan=807.0rpm vram=7.203125MiB
